loss,accuracy,val_loss,val_accuracy
2.3235785961151123,0.4464285671710968,0.3118104040622711,0.9285714030265808
0.44191789627075195,0.8928571343421936,0.1182817816734314,0.9285714030265808
0.0722092017531395,0.9821428656578064,0.17666557431221008,1.0
0.03327874839305878,1.0,0.2961711585521698,0.8571428656578064
0.0996270552277565,0.9642857313156128,0.24971874058246613,0.8571428656578064
0.006856352090835571,1.0,0.17215262353420258,0.8571428656578064
0.017385322600603104,1.0,0.11108355224132538,0.9285714030265808
0.005670587997883558,1.0,0.06015174835920334,1.0
0.0008443478727713227,1.0,0.02810775302350521,1.0
0.001569461775943637,1.0,0.010904253460466862,1.0
0.000119270924187731,1.0,0.004002968315035105,1.0
0.00023044909175951034,1.0,0.001651505008339882,1.0
0.0009976831497624516,1.0,0.0008182766032405198,1.0
2.9100716346874833e-05,1.0,0.0004919778439216316,1.0
0.00019975726900156587,1.0,0.0003480855084490031,1.0
0.000435616762842983,1.0,0.000273582962108776,1.0
0.001059293863363564,1.0,0.0002284253278048709,1.0
0.00022684643045067787,1.0,0.00021159707102924585,1.0
0.0018679981585592031,1.0,0.00019425689242780209,1.0
4.1322753531858325e-05,1.0,0.00019625949789769948,1.0
